STATION:   TWIN CITIES MN
MONTH:     MARCH
YEAR:      2015
LATITUDE:   44 52 N
LONGITUDE:  93 13 W

TEMPERATURE IN F:       :PCPN:    SNOW:  WIND      :SUNSHINE: SKY     :PK WND
================================================================================
1   2   3   4   5  6A  6B    7    8   9   10  11  12  13   14  15   16   17  18
12Z  AVG MX 2MIN
DY MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH SPD SPD DIR MIN PSBL S-S WX    SPD DR
================================================================================

1  28  14  21  -5  44   0    T    T    T 13.4 22 300   M    M   7 8      30 260
2  26   9  18  -9  47   0 0.00  0.0    T  8.0 15 150   M    M   4        19 140
3  29   6  18  -9  47   0 0.13  1.9    T 12.5 28 310   M    M   7 18     36 300
4  12  -2   5 -23  60   0 0.00  0.0    2 12.1 23 290   M    M   3        31 300
5  15  -7   4 -24  61   0 0.00  0.0    2  6.9 13 200   M    M   0        18 180
6  39   7  23  -5  42   0 0.00  0.0    2  7.8 16 270   M    M   5        19 310
7  44  28  36   7  29   0 0.00  0.0    T 12.1 28 310   M    M   5        35 300
8  48  31  40  11  25   0 0.00  0.0    0  9.0 18 280   M    M   5        25 320
9  57  32  45  15  20   0 0.00  0.0    0  8.9 21 230   M    M   6        27 240
10  66  37  52  22  13   0 0.00  0.0    0  9.0 23 310   M    M   0        28 290
11  58  29  44  14  21   0 0.00  0.0    0  4.2 13 160   M    M   4        17 150
12  62  37  50  19  15   0 0.00  0.0    0 13.3 23 160   M    M   8        28 150
13  62  39  51  20  14   0 0.00  0.0    0 11.7 21 290   M    M   5        26 320
14  61  33  47  15  18   0 0.00  0.0    0  6.7 16 300   M    M   0 1      22 350
15  70  38  54  22  11   0 0.00  0.0    0 10.0 24 220   M    M   8        33 220
16  62  36  49  16  16   0 0.00  0.0    0 12.4 28  10   M    M   9 8      35  10
17  45  26  36   3  29   0 0.00  0.0    0  9.8 21 360   M    M   5        28 350
18  46  30  38   4  27   0 0.00  0.0    0  2.4 12 140   M    M  10        14 140
19  50  35  43   9  22   0    T  0.0    0 10.3 20 160   M    M   9        25 170
20  56  32  44  10  21   0    T  0.0    0  8.7 23 340   M    M   6        30  20
21  38  26  32  -3  33   0 0.00  0.0    0 10.3 23 350   M    M   6        30 350
22  35  29  32  -3  33   0 0.20  3.1    0 11.0 18  70   M    M   9 1      24  60
23  32  30  31  -5  34   0 0.03  0.5    4  9.6 16 100   M    M  10 1      20 110
24  38  25  32  -4  33   0 0.12  1.2    2 10.9 21 140   M    M   8 18     27 140
25  38  31  35  -2  30   0    T  0.1    1 15.0 32 270   M    M   9 1      42 270
26  36  25  31  -6  34   0 0.00  0.0    0 12.5 21 320   M    M   6        26 320
27  36  17  27 -11  38   0 0.00  0.0    0  4.8 12 220   M    M   3        16  20
28  41  20  31  -7  34   0 0.00  0.0    0 11.0 22 160   M    M   3        27 160
29  53  34  44   5  21   0 0.19  0.0    0 17.5 37 300   M    M   4 1      48 310
30  57  36  47   8  18   0 0.00  0.0    0  6.9 18  20   M    M   6        24  10
31  65  32  49   9  16   0 0.00  0.0    0  5.1 13 290   M    M   2 1      23 280
